judge,dataset,group,variant,kind,n,signed_delta,ci_lo,ci_hi,mean_abs_delta
videophy2_auto,test,PC,caption_echo_score_anchor_negative,superficial,450,0.22,0.17777777777777778,0.2644444444444444,0.2688888888888889
videophy2_auto,test,PC,caption_echo_control_irrelevant,superficial,450,0.3422222222222222,0.28888888888888886,0.39555555555555555,0.39555555555555555
videophy2_auto,implausibench_real,SA,shuffle,temporal,149,-0.04697986577181208,-0.09395973154362416,0.0,0.087248322147651
videophy2_auto,implausibench_real,SA,reverse,temporal,150,-0.04666666666666667,-0.08666666666666667,-0.013333333333333334,0.06
videophy2_auto,implausibench_real,SA,freeze,temporal,150,0.04666666666666667,0.0,0.09333333333333334,0.08666666666666667
videophy2_auto,implausibench_real,SA,photometric,superficial,150,-0.03333333333333333,-0.07333333333333333,0.006666666666666667,0.06
videophy2_auto,implausibench_real,SA,caption_echo_rubric_vocab,superficial,150,0.21333333333333335,0.14,0.29333333333333333,0.26666666666666666
videophy2_auto,implausibench_real,SA,caption_echo_score_anchor_positive,superficial,150,0.02,-0.04666666666666667,0.08666666666666667,0.19333333333333333
videophy2_auto,implausibench_real,SA,caption_echo_authoritative_claim,superficial,150,0.24,0.15333333333333332,0.32666666666666666,0.32
videophy2_auto,implausibench_real,SA,caption_echo_score_anchor_negative,superficial,150,-0.013333333333333334,-0.08666666666666667,0.06666666666666667,0.22666666666666666
videophy2_auto,implausibench_real,SA,caption_echo_control_irrelevant,superficial,150,0.006666666666666667,-0.06666666666666667,0.07333333333333333,0.20666666666666667
videophy2_auto,implausibench_real,PC,shuffle,temporal,149,-0.013422818791946308,-0.06711409395973154,0.040268456375838924,0.12080536912751678
videophy2_auto,implausibench_real,PC,reverse,temporal,150,-0.006666666666666667,-0.05333333333333334,0.03333333333333333,0.06
videophy2_auto,implausibench_real,PC,freeze,temporal,150,0.05333333333333334,0.0,0.10666666666666667,0.10666666666666667
videophy2_auto,implausibench_real,PC,photometric,superficial,150,-0.006666666666666667,-0.06,0.04666666666666667,0.11333333333333333
videophy2_auto,implausibench_real,PC,caption_echo_rubric_vocab,superficial,150,0.19333333333333333,0.11333333333333333,0.28,0.2866666666666667
videophy2_auto,implausibench_real,PC,caption_echo_score_anchor_positive,superficial,150,0.26,0.18,0.3466666666666667,0.34
videophy2_auto,implausibench_real,PC,caption_echo_authoritative_claim,superficial,150,0.18666666666666668,0.1,0.2733333333333333,0.3466666666666667
videophy2_auto,implausibench_real,PC,caption_echo_score_anchor_negative,superficial,150,0.18,0.1,0.26016666666666577,0.26
videophy2_auto,implausibench_real,PC,caption_echo_control_irrelevant,superficial,150,0.22666666666666666,0.13983333333333337,0.32,0.3333333333333333
videophy2_auto,implausibench_implausible,SA,shuffle,temporal,150,-0.04666666666666667,-0.09333333333333334,-0.006666666666666667,0.07333333333333333
videophy2_auto,implausibench_implausible,SA,reverse,temporal,150,0.013333333333333334,-0.02,0.05333333333333334,0.05333333333333334
videophy2_auto,implausibench_implausible,SA,freeze,temporal,150,0.07333333333333333,0.02,0.12666666666666668,0.11333333333333333
videophy2_auto,implausibench_implausible,SA,photometric,superficial,150,0.006666666666666667,-0.03333333333333333,0.04666666666666667,0.06
videophy2_auto,implausibench_implausible,SA,caption_echo_rubric_vocab,superficial,150,0.3466666666666667,0.2733333333333333,0.42,0.36
